"LANGUAGE","Deutsch","Language name (in native language)."
"MOD_NAME","Building Control","Mod name, used for in-game UI."
"MOD_DESCRIPTION","Gebäude-Anarchie und andere Funktionen","Mod description, visibile in content manager."
"PLACEMENT","Platzierungsmodus","Dropdown menu label in control panel"
"SURFACE","Oberflächentextur","Dropdown menu label in control panel"
"FLATTEN","Geländeplanierung","Dropdown menu label in control panel"
"DEFAULT","Standard","Placement mode menu item"
"ROADSIDE","Straßenrand","Placement mode menu item"
"SHORE","Küstenlinie","Placement mode menu item"
"ONWATER","Auf dem Wasser","Placement mode menu item"
"ONGROUND","Auf dem Boden","Placement mode menu item"
"ONSURFACE","Pfeiler","Placement mode menu item"
"ONTERRAIN","Boden oder Wasser","Placement mode menu item"
"SHORE_GROUND","Küste oder Boden","Placement mode menu item"
"PATH_GROUND","Pfadseite oder Boden","Placement mode menu item"
"CONCORSE","Flughafenkorridore","Placement mode menu item"
"NO_SURFACE","Keine Textur","Surface texture override menu item"
"GRAVEL","Kies","Surface texture override menu item"
"PAVEMENT","Gehweg","Surface texture override menu item"
"FLATTEN_OFF","Keine Begradigung","Terrain flattening override menu item"
"FLATTEN_BUILDING","Gebäudebasis begradigen","Terrain flattening override menu item"
"FLATTEN_ALL","Vollständig begradigen","Terrain flattening override menu item"
"RESET_POS","Schaltflächen-Position zurücksetzen","Button in options panel."
